               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.028217,            0.008937,           0.0033753,             0.97971,             0.98235,             0.98754,             0.84112,            0.011412,           0.0031697,           0.0015843,            0.007525,            0.007525,            0.007525
                  52,            0.025583,           0.0088652,           0.0034285,             0.97892,             0.97758,             0.98571,             0.85643,            0.011185,           0.0032807,           0.0017671,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025443,           0.0083154,           0.0049628,             0.96339,             0.97985,              0.9855,             0.86851,            0.010584,           0.0030817,           0.0026679,            0.007426,            0.007426,            0.007426
                  54,            0.024474,           0.0089541,           0.0044086,              0.9779,             0.98068,             0.98744,             0.85713,             0.01053,           0.0031819,           0.0024079,           0.0073765,           0.0073765,           0.0073765
                  55,            0.024066,           0.0086961,           0.0032233,             0.98068,             0.96267,             0.98652,             0.83063,            0.011761,           0.0031973,           0.0023624,            0.007327,            0.007327,            0.007327
                  56,            0.022254,           0.0086689,           0.0039891,             0.97541,             0.96606,             0.98895,             0.86464,            0.011552,           0.0031813,           0.0019164,           0.0072775,           0.0072775,           0.0072775
                  57,            0.022813,           0.0089798,           0.0031704,             0.97479,             0.96267,             0.98808,             0.87167,            0.010325,           0.0031554,           0.0019081,            0.007228,            0.007228,            0.007228
                  58,            0.024447,           0.0085426,           0.0042039,             0.97887,             0.95565,             0.98791,             0.87034,            0.010292,           0.0031806,           0.0019143,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022538,            0.008223,            0.002481,             0.97234,             0.97764,             0.98894,             0.87512,            0.010522,           0.0030832,           0.0018672,            0.007129,            0.007129,            0.007129
                  60,            0.026349,           0.0087391,            0.003437,             0.95877,              0.9687,             0.98356,             0.85932,            0.010447,           0.0031723,           0.0016144,           0.0070795,           0.0070795,           0.0070795
                  61,            0.023542,           0.0086418,           0.0030432,             0.97408,             0.96172,             0.98792,             0.86579,            0.010033,           0.0031392,           0.0016481,             0.00703,             0.00703,             0.00703
                  62,            0.026364,           0.0083586,           0.0030704,             0.98005,             0.96242,             0.98935,             0.87412,             0.00967,           0.0030555,           0.0016388,           0.0069805,           0.0069805,           0.0069805
                  63,            0.023146,            0.007814,           0.0027806,               0.989,             0.97649,             0.98925,             0.87261,             0.01059,           0.0029895,            0.001397,            0.006931,            0.006931,            0.006931
                  64,            0.024436,           0.0083256,           0.0027515,             0.98634,             0.98093,             0.99004,             0.86343,            0.010599,           0.0030136,           0.0012996,           0.0068815,           0.0068815,           0.0068815
                  65,            0.023281,           0.0082078,           0.0033105,             0.96713,             0.96668,              0.9846,             0.87328,            0.010319,           0.0031157,           0.0013114,            0.006832,            0.006832,            0.006832
                  66,            0.022856,           0.0082576,           0.0038069,             0.94197,             0.96137,             0.97693,             0.85373,            0.010521,           0.0031858,           0.0030929,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023446,           0.0086251,           0.0026712,             0.94767,             0.96743,             0.98144,              0.8605,            0.010589,           0.0030668,           0.0041892,            0.006733,            0.006733,            0.006733
                  68,            0.024857,           0.0089616,            0.003722,             0.97501,              0.9637,              0.9879,             0.87311,           0.0093698,           0.0030225,           0.0021248,           0.0066835,           0.0066835,           0.0066835
                  69,             0.02166,           0.0081858,           0.0025077,             0.98671,               0.984,             0.99073,             0.88376,           0.0094374,           0.0028844,           0.0014741,            0.006634,            0.006634,            0.006634
                  70,            0.021538,            0.007836,           0.0034575,             0.98415,             0.96883,             0.98935,             0.87363,           0.0098059,           0.0030058,           0.0013705,           0.0065845,           0.0065845,           0.0065845
                  71,            0.021881,           0.0080382,           0.0033522,             0.96474,             0.97312,             0.98718,             0.88416,            0.010593,           0.0029533,           0.0018414,            0.006535,            0.006535,            0.006535
                  72,            0.024957,           0.0081788,           0.0028814,              0.9815,             0.97334,             0.98811,             0.87278,              0.0102,           0.0030282,           0.0017917,           0.0064855,           0.0064855,           0.0064855
                  73,            0.021686,           0.0081992,              0.0032,             0.97845,             0.98197,             0.98877,             0.87879,           0.0089569,           0.0029759,           0.0016976,            0.006436,            0.006436,            0.006436
                  74,            0.023796,           0.0079841,           0.0032303,             0.96612,             0.98481,             0.98945,             0.88539,           0.0092574,           0.0029192,           0.0015464,           0.0063865,           0.0063865,           0.0063865
                  75,            0.023792,           0.0078698,           0.0027056,             0.96634,             0.96788,             0.98486,             0.86109,            0.010365,           0.0030333,           0.0020778,            0.006337,            0.006337,            0.006337
                  76,             0.02294,           0.0082693,           0.0036473,             0.97132,             0.96853,             0.98753,             0.85981,            0.010648,           0.0030176,           0.0018437,           0.0062875,           0.0062875,           0.0062875
                  77,            0.023305,           0.0080871,            0.004349,             0.97293,             0.97774,             0.98823,             0.86035,            0.009638,            0.002995,            0.002008,            0.006238,            0.006238,            0.006238
                  78,            0.021794,           0.0078793,           0.0030047,             0.96685,             0.98179,             0.98782,             0.86984,            0.009775,           0.0029409,            0.002097,           0.0061885,           0.0061885,           0.0061885
                  79,            0.019596,           0.0078484,           0.0024002,             0.97659,              0.9625,             0.98623,             0.88429,           0.0093995,           0.0030507,           0.0021635,            0.006139,            0.006139,            0.006139
                  80,            0.022356,            0.008114,           0.0031735,             0.97537,             0.97232,             0.98732,              0.8824,           0.0093848,           0.0028611,            0.002247,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022185,           0.0079081,           0.0028508,             0.97981,             0.96356,             0.98445,                0.89,           0.0089877,           0.0028423,           0.0027138,             0.00604,             0.00604,             0.00604
                  82,            0.019802,           0.0082219,           0.0026537,              0.9807,             0.98152,             0.98503,             0.87446,           0.0088738,           0.0030001,           0.0025816,           0.0059905,           0.0059905,           0.0059905
                  83,            0.022492,           0.0080055,            0.002219,              0.9712,             0.97803,             0.98547,             0.87219,           0.0093739,           0.0028746,           0.0024816,            0.005941,            0.005941,            0.005941
                  84,            0.018984,           0.0078864,           0.0021476,             0.97361,             0.98008,             0.98625,             0.86791,           0.0093494,           0.0029534,           0.0019647,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020736,           0.0076054,           0.0036761,             0.98591,             0.96937,             0.98762,             0.88445,            0.010088,           0.0030032,            0.001295,            0.005842,            0.005842,            0.005842
                  86,            0.021576,           0.0076431,           0.0024186,             0.98515,             0.97409,             0.98876,             0.87869,            0.009477,           0.0029973,           0.0011667,           0.0057925,           0.0057925,           0.0057925
                  87,            0.021683,           0.0076788,           0.0026292,             0.98237,             0.98852,             0.99024,             0.88681,            0.009438,           0.0029031,           0.0011097,            0.005743,            0.005743,            0.005743
                  88,             0.02096,           0.0075121,           0.0023976,             0.98915,             0.97905,             0.98901,             0.87471,           0.0093033,           0.0030025,           0.0012126,           0.0056935,           0.0056935,           0.0056935
                  89,             0.02159,           0.0076251,           0.0027148,             0.97074,             0.98662,             0.98801,             0.86128,            0.010266,           0.0031237,           0.0014365,            0.005644,            0.005644,            0.005644
                  90,            0.020159,           0.0074006,           0.0018933,             0.97784,             0.97616,             0.98613,             0.88053,           0.0095327,           0.0029779,           0.0016209,           0.0055945,           0.0055945,           0.0055945
                  91,            0.019545,           0.0075643,           0.0018417,             0.97884,             0.98336,             0.98977,             0.89203,           0.0095941,            0.003012,           0.0015714,            0.005545,            0.005545,            0.005545
