               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,             0.02633,              0.0112,           0.0040208,             0.93414,             0.91548,             0.96223,             0.74265,            0.014537,           0.0047212,           0.0026259,           0.0065845,           0.0065845,           0.0065845
                  71,            0.024711,            0.010962,           0.0043359,             0.92258,             0.91889,             0.96777,             0.74381,            0.014405,           0.0048305,           0.0025431,            0.006535,            0.006535,            0.006535
                  72,            0.026951,            0.011231,           0.0041392,             0.93332,             0.92857,             0.96569,             0.75758,            0.014489,           0.0048061,           0.0024427,           0.0064855,           0.0064855,           0.0064855
                  73,            0.024381,            0.011387,           0.0042129,             0.93131,             0.91897,             0.96739,             0.76049,            0.013986,           0.0047986,           0.0022868,            0.006436,            0.006436,            0.006436
                  74,             0.02599,            0.011045,           0.0044714,             0.93177,             0.90323,             0.96815,             0.75753,            0.013791,           0.0048658,            0.002111,           0.0063865,           0.0063865,           0.0063865
                  75,            0.024504,            0.010815,           0.0035945,             0.89209,             0.89632,             0.95039,             0.73774,            0.014885,           0.0047235,           0.0026979,            0.006337,            0.006337,            0.006337
                  76,              0.0274,             0.01129,           0.0056542,             0.94011,             0.90141,             0.96129,             0.76252,            0.013317,           0.0046953,           0.0030482,           0.0062875,           0.0062875,           0.0062875
                  77,            0.026638,            0.011067,           0.0043701,             0.94642,             0.91633,              0.9729,             0.76633,            0.013755,           0.0047146,           0.0020329,            0.006238,            0.006238,            0.006238
                  78,            0.023775,            0.010914,           0.0028105,             0.93306,             0.95111,             0.97615,              0.7649,            0.013562,           0.0046441,           0.0018772,           0.0061885,           0.0061885,           0.0061885
                  79,            0.023441,            0.010953,           0.0030646,             0.93671,             0.91065,              0.9728,             0.76444,            0.013275,           0.0048538,           0.0018573,            0.006139,            0.006139,            0.006139
                  80,            0.027221,            0.011072,           0.0046261,             0.89836,             0.94344,             0.96875,             0.76981,            0.013319,           0.0046713,           0.0016613,           0.0060895,           0.0060895,           0.0060895
