               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.029113,            0.013588,           0.0070696,             0.88259,             0.87672,             0.94109,             0.68458,            0.016021,           0.0057368,           0.0034301,            0.006634,            0.006634,            0.006634
                  70,            0.029557,            0.013345,           0.0050958,             0.88439,             0.88728,             0.93594,             0.68668,            0.016206,            0.005605,           0.0030899,           0.0065845,           0.0065845,           0.0065845
                  71,            0.026272,            0.012882,           0.0053269,             0.88788,             0.86131,             0.93791,              0.6703,            0.015653,            0.005573,           0.0032099,            0.006535,            0.006535,            0.006535
                  72,            0.027738,            0.013308,           0.0052195,             0.90516,             0.86031,             0.94078,             0.69025,            0.015105,           0.0057232,           0.0023654,           0.0064855,           0.0064855,           0.0064855
                  73,            0.029456,            0.013053,           0.0063597,             0.88385,             0.86325,             0.93522,             0.67657,            0.015692,            0.005582,           0.0038022,            0.006436,            0.006436,            0.006436
                  74,            0.027964,            0.013273,           0.0052425,             0.89348,             0.91582,             0.95808,             0.69394,            0.015819,           0.0056075,           0.0019438,           0.0063865,           0.0063865,           0.0063865
                  75,            0.027997,            0.012765,           0.0055399,             0.89903,              0.8983,             0.95312,             0.69557,            0.015387,            0.005744,           0.0024978,            0.006337,            0.006337,            0.006337
                  76,            0.029115,            0.012864,           0.0056297,             0.88656,             0.87107,              0.9401,             0.69807,            0.014764,           0.0055776,           0.0027342,           0.0062875,           0.0062875,           0.0062875
                  77,            0.027803,            0.013163,             0.00537,             0.87113,             0.88304,             0.93178,             0.69405,            0.014854,           0.0055888,             0.00341,            0.006238,            0.006238,            0.006238
                  78,            0.028494,            0.013116,            0.005941,              0.8834,             0.90436,             0.95397,             0.69444,            0.015615,           0.0054282,            0.002694,           0.0061885,           0.0061885,           0.0061885
                  79,            0.027198,            0.012948,           0.0054914,             0.90044,             0.90287,              0.9522,             0.71077,              0.0153,           0.0054787,           0.0022061,            0.006139,            0.006139,            0.006139
                  80,            0.028248,             0.01307,           0.0066599,             0.89347,             0.85526,             0.93059,             0.66691,            0.016516,           0.0054906,           0.0032485,           0.0060895,           0.0060895,           0.0060895
                  81,            0.026789,            0.013126,           0.0059979,             0.88835,             0.89949,             0.94422,             0.69659,            0.015655,           0.0055205,           0.0023143,             0.00604,             0.00604,             0.00604
                  82,            0.027096,            0.013121,           0.0053187,             0.89238,             0.91357,             0.95569,             0.70474,            0.015101,           0.0055219,           0.0020321,           0.0059905,           0.0059905,           0.0059905
                  83,            0.026239,            0.012764,           0.0058614,             0.91251,             0.86151,             0.95221,             0.69992,             0.01563,           0.0055997,           0.0030882,            0.005941,            0.005941,            0.005941
                  84,            0.026522,            0.013207,           0.0063456,             0.88703,             0.89459,             0.94647,             0.69407,            0.017029,           0.0054799,           0.0027431,           0.0058915,           0.0058915,           0.0058915
                  85,            0.026844,            0.012595,            0.004183,             0.88186,               0.873,             0.93774,             0.70446,            0.013602,           0.0053114,           0.0045632,            0.005842,            0.005842,            0.005842
                  86,            0.026655,            0.012631,           0.0048074,             0.89591,             0.88052,             0.95084,             0.70944,            0.014978,           0.0053072,           0.0023685,           0.0057925,           0.0057925,           0.0057925
                  87,            0.025775,            0.012474,           0.0044093,             0.90154,             0.93173,              0.9626,             0.71553,            0.013638,           0.0051708,           0.0026078,            0.005743,            0.005743,            0.005743
                  88,            0.026427,            0.013088,            0.005377,             0.91406,             0.91443,             0.96743,              0.7243,            0.014212,           0.0052547,           0.0020831,           0.0056935,           0.0056935,           0.0056935
                  89,            0.027144,            0.012271,           0.0063702,             0.90984,             0.90474,             0.96365,             0.72648,            0.014401,           0.0051687,           0.0025269,            0.005644,            0.005644,            0.005644
                  90,            0.025994,            0.013325,           0.0058289,             0.91083,             0.90435,             0.96564,             0.72823,            0.014917,           0.0054102,           0.0022229,           0.0055945,           0.0055945,           0.0055945
                  91,            0.025668,            0.013212,           0.0046398,             0.93499,             0.89414,             0.96587,             0.72219,            0.014417,           0.0054684,           0.0017671,            0.005545,            0.005545,            0.005545
                  92,            0.027829,            0.012964,           0.0066498,             0.87707,             0.92492,             0.95881,             0.71794,            0.014856,           0.0055253,            0.002404,           0.0054955,           0.0054955,           0.0054955
                  93,            0.026416,            0.012906,           0.0056177,             0.87117,             0.92684,             0.95538,             0.70683,            0.014873,           0.0051327,           0.0021698,            0.005446,            0.005446,            0.005446
                  94,            0.025035,            0.011914,           0.0048743,             0.90529,              0.9118,             0.95559,             0.71476,            0.013838,           0.0051687,           0.0023054,           0.0053965,           0.0053965,           0.0053965
                  95,            0.027401,            0.012025,           0.0049876,             0.90381,             0.91401,             0.94751,             0.71823,            0.014475,           0.0052202,           0.0022959,            0.005347,            0.005347,            0.005347
                  96,             0.02446,            0.012575,           0.0067036,             0.88973,             0.92726,             0.96086,             0.71105,            0.015204,           0.0052507,           0.0017807,           0.0052975,           0.0052975,           0.0052975
                  97,            0.025887,            0.012428,           0.0052499,             0.89728,             0.89556,             0.95773,              0.7146,              0.0154,           0.0052727,           0.0022031,            0.005248,            0.005248,            0.005248
                  98,            0.027077,            0.012649,           0.0056684,             0.93038,             0.89574,             0.96141,             0.72256,            0.014885,           0.0052423,           0.0021852,           0.0051985,           0.0051985,           0.0051985
                  99,            0.026583,            0.013321,           0.0065799,             0.88034,             0.88486,              0.9522,             0.71503,            0.015433,           0.0053822,           0.0022205,            0.005149,            0.005149,            0.005149
                 100,            0.027541,            0.012552,            0.004919,             0.87657,             0.90715,             0.94324,              0.7065,            0.015871,           0.0056362,           0.0018763,           0.0050995,           0.0050995,           0.0050995
                 101,            0.025741,            0.012928,           0.0048864,             0.90488,              0.8455,             0.94533,             0.70836,            0.015163,           0.0056624,           0.0022695,             0.00505,             0.00505,             0.00505
                 102,            0.026701,            0.012693,           0.0061763,             0.94105,             0.90184,             0.96681,             0.73961,            0.014311,           0.0052664,           0.0016855,           0.0050005,           0.0050005,           0.0050005
                 103,            0.024537,            0.012768,           0.0048264,             0.92403,             0.90386,             0.97116,             0.74649,            0.013648,           0.0051549,           0.0018703,            0.004951,            0.004951,            0.004951
                 104,            0.025777,            0.012576,           0.0045925,             0.92866,             0.93384,             0.96874,             0.72337,            0.014237,           0.0053662,            0.001628,           0.0049015,           0.0049015,           0.0049015
                 105,            0.024453,            0.011858,           0.0037887,             0.92236,             0.90833,             0.95991,              0.7314,            0.014274,           0.0053684,            0.002042,            0.004852,            0.004852,            0.004852
                 106,            0.026746,            0.012927,            0.005076,             0.92385,             0.88021,             0.94873,             0.72325,            0.013784,           0.0054727,           0.0025205,           0.0048025,           0.0048025,           0.0048025
                 107,            0.024443,            0.012494,           0.0058576,             0.89026,             0.91202,             0.95417,              0.7187,            0.014089,           0.0053161,           0.0023878,            0.004753,            0.004753,            0.004753
                 108,            0.023555,            0.012233,           0.0038436,             0.89443,             0.89514,              0.9488,             0.71005,            0.014653,           0.0053689,           0.0028157,           0.0047035,           0.0047035,           0.0047035
                 109,            0.026128,              0.0122,           0.0039195,             0.87667,             0.88309,             0.93976,             0.71267,            0.014758,           0.0054587,           0.0022026,            0.004654,            0.004654,            0.004654
                 110,            0.026624,            0.013043,           0.0040564,             0.88774,             0.90659,             0.94671,             0.71465,            0.014707,           0.0053517,           0.0026542,           0.0046045,           0.0046045,           0.0046045
                 111,            0.023581,            0.012469,           0.0034151,             0.88969,               0.914,             0.94739,             0.71876,            0.013865,           0.0051904,           0.0027106,            0.004555,            0.004555,            0.004555
                 112,            0.023838,            0.012327,           0.0051061,             0.91732,             0.91429,             0.96466,             0.72566,            0.014741,           0.0054075,           0.0018335,           0.0045055,           0.0045055,           0.0045055
                 113,            0.024458,            0.012437,           0.0050379,             0.93636,             0.88414,             0.96113,             0.72379,            0.014083,           0.0054344,           0.0021009,            0.004456,            0.004456,            0.004456
                 114,            0.027086,            0.012242,           0.0049888,             0.92813,             0.90365,             0.96278,             0.73262,            0.013496,           0.0054046,           0.0018261,           0.0044065,           0.0044065,           0.0044065
